##### OWN ####
1.1.1.1 2022-12-12 DUMMY
8.8.8.8 2022-12-12 DUMMY
##### L #####
41.216.178.80 2023-03-23 Mal
128.199.147.106 2026-01-12 AdiSgdo
103.187.106.32 2023-12-12 Test
143.198.92.131 2023-12-12 Tesgo
103.157.27.160 2023-12-12 Linkgotesting
128.199.214.156 2023-12-12 AzizFath
103.150.197.62 2023-02-02 Andraa
103.112.162.145 2025-01-01 APN
103.150.103.52 2025-01-01 APN2
103.157.116.32 2030-01-01 APN3
41.216.178.171 2025-01-01 APN4
103.77.78.49 2023-07-15 RZZ
103.175.217.44 2023-06-19 NndBz
52.221.192.221 2022-12-08 UserA
157.245.48.223 2023-01-03 Lycoks
143.198.205.6 2023-03-17 Reez
167.99.67.80 2023-06-01 Rza
139.162.58.4 2023-06-01 Zra
103.157.116.15 2023-07-05 RZaaa
103.112.162.146 2023-07-25 Madychiro
134.209.98.229 2023-03-06 Zarab
103.157.116.123 2023-05-30 ZZZZ
104.248.146.233 2022-12-06 Merapi
103.31.38.230 2022-12-15 HilmanGG
157.230.244.249 2022-12-16 AdiMabok
143.198.198.78 2023-03-07 Tangi
103.227.254.62 2023-05-29 Za3
157.230.240.62 2023-05-07 Za2
103.112.162.134 2023-09-22 ZLX
128.199.72.205 2023-01-17 RifqiBagus
41.216.177.167 2023-01-02 RifqiBagus2
167.71.196.168 2023-09-21 Rikunz
128.199.207.176 2022-12-19 ikibolozy
103.187.106.39 2023-05-13 Latifan
188.166.238.134 2023-07-15 Latifan2
172.105.124.212 2022-12-27 SiKomo
18.142.209.164 2023-02-03 DwiPutra
103.227.255.29 2023-01-09 WibuKobo
143.198.218.249 2022-12-04 JagungBakar
41.216.177.175 2023-02-06 JagungBakar2
103.136.17.54 2023-03-07 FlyinDVB
202.125.83.170 2023-03-07 FlyinDVB2
103.136.18.217 2023-03-07 FlyinDVB3
103.136.18.163 2023-03-07 FDVB4
103.150.103.38 2025-04-08 Cakdon1
103.227.255.24 2025-03-08 Cakdon2
103.227.252.79 2025-03-26 Cakdon3
103.150.121.140 2025-05-23 Dimz1
103.227.252.67 2025-05-23 Dimz2
117.53.144.109 2025-05-23 Dimz3
103.157.116.27 2024-07-13 Dimas2
103.182.47.236 2024-07-13 Dimas4
117.53.144.39 2024-07-13 Dimas5
103.112.162.172 2024-07-13 Dimas6
103.102.15.34 2024-07-13 Dimas7
38.9.136.218 2024-07-13 Dimas8
38.9.146.111 2024-07-13 Dimas9
103.186.0.92 2024-07-13 Dimas10
103.102.152.164 2022-12-14 Wibu
128.199.73.104 2023-04-21 WibuDo
159.223.45.56 2023-03-11 WibuDo4
116.251.216.12 2023-01-11 WibuGura
103.169.210.82 2022-12-29 FlyinDvb1
68.183.185.3 2023-03-06 Fery
15.235.186.98 2023-03-02 FlyinOvh
15.235.199.163 2023-06-12 FYN
52.77.101.66 2023-03-02 Flyn
103.150.88.198 2024-06-20 FlyinBiz
103.189.164.200 2024-06-20 Flws
103.167.34.162 2024-09-05 Flyinnn
103.167.35.105 2025-06-08 Flnz
103.180.125.35 2025-06-08 FGHZ
103.42.116.242 2025-06-08 FNLZN
38.9.147.143 2025-06-08 ONZB
103.167.34.158 2025-06-08 FlynIKD
95.174.68.220 2023-09-02 Ramze
41.216.177.23 2023-02-10 Hijitoko
146.190.96.209 2023-06-25 IchirOO
103.227.252.85 2029-12-28 AbdulRaja
103.150.121.237 2029-12-28 AbdulBiz
103.146.63.132 2023-07-01 ZZZZxcaa
18.139.121.234 2023-09-03 DwiPutraa
103.102.15.2 2023-08-18 Rfzxc
103.161.185.72 2023-08-22 MdyChr
103.102.15.13 2023-08-23 RzIp
103.157.116.112 2023-09-02 LgHz
167.71.208.87 2023-12-21 Mdyz
103.167.34.159 2023-10-17 MdyIc
165.22.253.66 2023-11-19 MdyLcx
103.163.160.8 2023-10-18 Rzxxcx
103.219.248.148 2023-10-06 ZS
103.77.107.189 2023-10-19 MZ
103.157.116.19 2023-10-27 LK
165.22.33.249 2023-12-05 PO
178.128.115.162 2023-12-06 TG
103.182.47.216 2024-02-13 Shal
178.128.93.98 2024-03-26 Mdly
167.172.86.89 2024-09-06 Mdlzy2
103.189.164.125 2024-02-24 Shlz
34.143.252.156 2024-02-02 Faikar
206.237.98.27 2024-03-01 Ishal
103.42.116.219 2024-03-01 Shalz1
45.66.153.218 2024-03-02 Shalz10
178.128.123.252 2024-07-17 Hikrzi
152.42.242.129 2024-09-20 Hikrzi2
202.74.237.98 2024-04-13 Ishzlz
159.65.138.9 2024-04-23 orgawam
113.20.31.9 2024-04-06 NKZnhhss
128.199.170.150 2024-06-18 orgawm
152.42.241.115 2024-05-27 awam2
103.139.193.179 2024-05-28 mwmwmw
159.65.5.92 2024-10-02 maszx
157.245.48.129 2025-01-16 Mdyzxc
143.198.205.64 2025-04-21 Mdycxz
209.97.170.169 2025-04-15 Owmz
161.35.63.166 2025-01-09 UserV
174.138.20.93 2025-04-16 mMzlqwe
167.172.85.143 2025-04-16 hdiwhd
